Are you self-employed?,Is your employer primarily a tech company/organization?,Do you have previous employers?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,How many employees does your company or organization have?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?.1,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?,Cluster
0,1.0,1,1,34,100-500,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,"No, none did","No, I only became aware later",None did,None did,No,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,"I would bring up a physical health issue because, compared with mental health issues, i feel that there is no prejudices",No,"Like i said before, i think that there are so many prejudices and ignorance about mental health","Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Yes,No,No,No,Not applicable to me,Not applicable to me,Male,Argentina,Unknown,Argentina,Unknown,Other,Always,0
0,1.0,1,1,38,26-100,Yes,I am not sure,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,"Yes, they all did",I was aware of some,None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,There is no stigma against physical health issue like there is with mental health.,No,The stigma associated with mental health colors the judgement of potential candidates.  ,Maybe,Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Yes,Yes,Rarely,Often,Female,United States of America,Illinois,United States of America,Illinois,Other,Sometimes,1
0,1.0,1,1,29,26-100,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,"Being viewed as problematic. Too personal. Maybe allude to it vaguely, at best.",No,For all the reasons you already know.,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,I don't know,Maybe,Maybe,No,Not applicable to me,Often,male,Canada,Unknown,Canada,Unknown,Front-end Developer,Never,0
0,1.0,1,1,29,6-25,Not eligible for coverage / N/A,Unknown,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,May not be relevant. ,Maybe,Concern about it's impact on hiring,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Maybe,Yes,Sometimes,Often,Male,United Kingdom,Unknown,United States of America,Washington,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always,0
0,1.0,1,0,40,More than 1000,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,I would as likely it would effect my work,Yes,"For the same reason.  If it effects my work, they need to know.","No, I don't think it would",Maybe,Somewhat not open,"Yes, I observed",Yes,Maybe,Maybe,No,Rarely,Often,male,United States of America,New York,United States of America,New York,Dev Evangelist/Advocate,Always,1
0,1.0,1,0,29,26-100,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some did,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,Depends on the employer and how specifically it is referenced.  Likely would ask about their short-term disability and qualifying events,Maybe,Same as above,Maybe,"No, they do not",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Rarely,Often,F,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes,0
0,1.0,1,1,35,1-5,Yes,Yes,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,It depends on the relevance for the job and my functioning there-in,Maybe,"Same, depends on the relevance to my function","No, it has not","No, I don't think they would",Very open,No,No,Yes,Yes,Yes,Rarely,Sometimes,M,Netherlands,Unknown,Netherlands,Unknown,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer|Front-end Developer,Sometimes,0
0,1.0,1,1,43,26-100,No,Yes,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Yes,It could mean time off/etc so the employer needs to be informed.,Yes,It could mean time off/etc and the employer should be infomred,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Sometimes,Often,Male,United States of America,Virginia,United States of America,Virginia,DevOps/SysAdmin,Sometimes,1
0,1.0,1,0,26,6-25,No,Unknown,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Unknown,No,Unknown,"No, I don't think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,Maybe,No,No,Not applicable to me,Not applicable to me,Male,Ireland,Unknown,Ireland,Unknown,Front-end Developer|Back-end Developer|DevOps/SysAdmin,Never,0
0,1.0,1,1,31,100-500,I don't know,No,No,No,I don't know,Very easy,No,No,No,No,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,Seems irrelevant and embarrassing,No,Seems irrelevant and embarrassing,"No, I don't think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,No,No,Maybe,No,Not applicable to me,Sometimes,male,Germany,Unknown,Germany,Unknown,Back-end Developer,Never,0
0,1.0,1,0,31,100-500,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,I would not want to work for an employer that reacted negatively to a physical health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. ,Yes,I would not want to work for an employer that reacted negatively to a mental health issue. I think it's a good test to ensure that they're the kind of employer I'd want to work for. ,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,Not applicable to me,Not applicable to me,female,United States of America,Illinois,United States of America,Illinois,Other,Always,0
0,1.0,1,0,39,6-25,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,I don't know,N/A (not currently aware),Some did,Some did,Sometimes,None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,Unsure,Maybe,Unsure,Maybe,"No, I don't think they would",Somewhat open,No,I don't know,No,No,No,Not applicable to me,Not applicable to me,Male,United States of America,Rhode Island,United States of America,Rhode Island,Supervisor/Team Lead,Never,1
0,1.0,1,0,27,26-100,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,"I don't think I'd bring up any type of health issues in an interview unless they are not offering health care, which in that case - I did bring up a few issues of physical health in one interview.",Maybe,It depends on whether or not it would affect my job.,"No, I don't think it would","No, I don't think they would",Somewhat open,No,Yes,No,No,No,Not applicable to me,Not applicable to me,Female,United States of America,Illinois,United States of America,Illinois,Other,Sometimes,0
0,1.0,1,1,28,100-500,Yes,I am not sure,No,No,I don't know,Very easy,Maybe,No,Yes,Yes,I don't know,No,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Unknown,No,Could compromise my ability to get hired or look like a compelling candidate,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Rarely,Often,Male,United States of America,Illinois,United States of America,Illinois,Back-end Developer|Front-end Developer,Sometimes,0
0,1.0,1,0,36,500-1000,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,I don't know,N/A (not currently aware),None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,Many organizations look for any reason to reject a candidate during the interview process.,No,Many organizations look for any reason to reject a candidate during the interview process.,Maybe,"Yes, I think they would",Neutral,No,No,No,Maybe,No,Not applicable to me,Often,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,Dev Evangelist/Advocate|DevOps/SysAdmin,Always,1
0,1.0,1,1,51,1-5,Yes,I am not sure,No,I don't know,No,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Fear of being disqualified for the job,No,Too great a stigma. Would likely be rejected for another candidate. ,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",I don't know,Maybe,No,No,Sometimes,Sometimes,Male,United States of America,California,United States of America,California,Support|Back-end Developer|Front-end Developer,Never,1
0,1.0,1,0,40,100-500,I don't know,No,No,Yes,Yes,I don't know,Yes,Maybe,No,No,I don't know,No,"Yes, they all did","No, I only became aware later",None did,Some did,I don't know,I don't know,"Yes, all of them",Some of my previous employers,Some of my previous employers,I don't know,Some of them,Maybe,I would bring it up if it were relevant to my performance.,No,Unknown,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,No,No,No,No,Not applicable to me,Not applicable to me,M,United States of America,Illinois,United States of America,Illinois,Dev Evangelist/Advocate|Back-end Developer|Designer|Front-end Developer,Always,1
0,1.0,1,1,35,26-100,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,"I have some vision issues that require me to use basic assistive technology (zooming screen, mainly) and depending on what we would be doing in an interview, my needing to see something bigger or closer may come up.",No,I worry that it would be viewed as a very severe weakness.,Maybe,Maybe,Very open,Maybe/Not sure,I don't know,Yes,Yes,Yes,Sometimes,Often,Female,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Back-end Developer,Sometimes,0
0,1.0,1,1,38,100-500,Yes,Yes,No,No,I don't know,Somewhat difficult,Yes,No,No,No,No,No,I don't know,N/A (not currently aware),Some did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,"Depends on the nature of the physical health issue, whether it was chronic and the impact on the work. In almost all cases, I would not discuss it because just increases the chance of discrimination.",No,Discrimination.,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Rarely,Often,Male,United States of America,California,United States of America,California,Supervisor/Team Lead,Never,1
0,1.0,1,1,29,100-500,Yes,I am not sure,No,No,I don't know,I don't know,Yes,Maybe,No,Maybe,I don't know,No,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,Judgement,No,Judgement,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,No,Sometimes,Often,Male,United States of America,Michigan,United States of America,California,Back-end Developer,Always,0
0,1.0,1,1,31,500-1000,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,Some did,I was aware of some,None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,"I have this idea that ""signs of weakness"" will always be a disadvantage in an interview",No,same as above,"Yes, I think it would",Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Rarely,Often,f,United States of America,Oregon,United States of America,Oregon,Back-end Developer,Always,0
0,1.0,1,0,45,100-500,No,No,No,No,I don't know,Somewhat difficult,Yes,No,Maybe,Maybe,No,No,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,"Unless applying for something that required specific physical skills, I don't believe physical health should be a factor in an interview.",No,A perception/assumption of automatic and immediate disqualification. ,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,Not applicable to me,Not applicable to me,male,United States of America,Vermont,United States of America,Vermont,Other,Sometimes,1
0,1.0,1,0,26,100-500,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,"I barely know these people, probably, and I'd rather not give them any reasons to turn me down. I don't see an upside.",No,"I barely know these people, probably, and I'd rather not give them any reasons to turn me down. I don't see an upside.","No, it has not","No, they do not",Somewhat open,No,Yes,Maybe,Maybe,No,Not applicable to me,Sometimes,Male,United States of America,Texas,United States of America,Texas,Other|Dev Evangelist/Advocate|Sales|Back-end Developer|Front-end Developer,Sometimes,0
0,1.0,1,0,42,100-500,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Yes,Unknown,Yes,Unknown,Maybe,"No, I don't think they would",Very open,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,United States of America,Maryland,United States of America,Maryland,DevOps/SysAdmin|Dev Evangelist/Advocate|Supervisor/Team Lead|Executive Leadership,Always,1
0,1.0,1,0,28,100-500,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,Some did,"No, I only became aware later",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,Unknown,No,Unknown,Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,No,Yes,No,No,Not applicable to me,Not applicable to me,f,United States of America,New York,United States of America,New York,Support,Always,0
0,1.0,1,0,28,6-25,Not eligible for coverage / N/A,Unknown,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,I don't know,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,None of them,Maybe,circumstantial,Maybe,circumstantial ,Maybe,Maybe,Somewhat open,No,Yes,No,No,No,Not applicable to me,Not applicable to me,Male,United Kingdom,Unknown,United Kingdom,Unknown,One-person shop,Sometimes,0
0,1.0,1,1,39,100-500,Yes,No,Yes,Yes,I don't know,I don't know,Maybe,Yes,Yes,Maybe,Yes,No,"Yes, they all did",I was aware of some,None did,Some did,Sometimes,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,Better to have it out with them now rather than wait. Have spoken in the industry about burnout.,Yes,It's important to know ahead of time.,Maybe,Maybe,Very open,"Yes, I observed",Yes,Yes,Yes,Yes,Sometimes,Often,female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,1
0,1.0,1,1,34,6-25,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,Maybe,Maybe,Maybe,Yes,No,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,It is generally not relevant to employment.,No,"As for physical issues, I do not feel it is relevant to employment.","No, it has not",Maybe,Very open,No,No,Yes,No,Yes,Rarely,Rarely,Male (cis),United States of America,New York,United States of America,New York,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Designer,Sometimes,0
0,1.0,1,1,28,26-100,I don't know,No,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Unknown,Maybe,Unknown,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Sometimes,Often,Female,United States of America,Pennsylvania,United States of America,Pennsylvania,Support|Back-end Developer,Always,0
0,1.0,1,0,35,500-1000,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,"No, none did",N/A (not currently aware),None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I don't even talk about health issues to acquaintances -- only to close family and friends,No,Same reason as physical health -- it's very personal.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,Maybe,No,No,Not applicable to me,Not applicable to me,Female,United States of America,California,United States of America,California,Supervisor/Team Lead,Sometimes,0
0,1.0,1,0,42,6-25,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,No,No,Maybe,Yes,Yes,No,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Honesty,Yes,Honesty,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,Not applicable to me,Not applicable to me,male,Canada,Unknown,Canada,Unknown,HR|Supervisor/Team Lead|Executive Leadership,Sometimes,1
0,1.0,1,0,28,26-100,Yes,I am not sure,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,"I don't have any chronic physical illnesses, but my partner does.  If I had the same illness as them, I would feel that the interviewer would likely discount my ability to work effectively or feel that the necessary accommodations would be too significant.",No,Uncertain about reception.  Very difficult to determine an interviewer's experience and perception of mental illness.,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,Yes,No,No,No,Not applicable to me,Not applicable to me,Male,Canada,Unknown,Canada,Unknown,Front-end Developer|Back-end Developer,Always,0
0,1.0,1,1,28,26-100,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Yes,Maybe,Maybe,Maybe,No,No,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always","Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"Still too much stigma attached to some physical health issues, e.g. female anatomy-related",No,"Rather not bring up something that would affect my chances of being hired. (Yes, it's illegal to discriminate that way, but that doesn't mean that doesn't happen, yeah?)","Yes, it has","Yes, they do",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Rarely,Often,female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,0
0,1.0,1,1,38,26-100,No,No,No,No,No,Somewhat easy,Yes,Maybe,Yes,Maybe,No,Yes,Some did,I was aware of some,Some did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,"It is what it is. If that causes a problem, I should not work there.",Yes,"It is what it is. If that causes a problem, I should not work there.","Yes, it has",Maybe,Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Rarely,Often,male,Netherlands,Unknown,Netherlands,Unknown,Back-end Developer,Never,1
0,1.0,1,1,28,100-500,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,Some did,"No, I only became aware later",Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,"If it didn't affect my job, I would wait until after I was hired to discuss it with my manager",No,"If it didn't affect my job, I would discuss it with my manager after I was hired","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,No,Rarely,Sometimes,Female,United States of America,California,United States of America,California,Back-end Developer,Sometimes,0
0,1.0,1,1,32,26-100,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,I don't think its an issue that needs to be discussed in an interview.,No,I don't think that's a topic that needs to be discussed in an interview.,Maybe,Maybe,Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,Sometimes,Often,Male,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Sometimes,0
0,1.0,1,1,24,1-5,Not eligible for coverage / N/A,Unknown,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,I don't know,No,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,"Maybe a second or third interview, but not the first. It's not their business, unless we're both serious about working together.",No,"Same reason as physical health - it's not their business straight up, so maybe in a later interview",Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,Sometimes,Often,Female,Australia,Unknown,Australia,Unknown,Front-end Developer,Sometimes,0
0,1.0,1,1,35,500-1000,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,No,No,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,"Some parts of tech require you to lift things, for example.",No,Quick way to not get the job.,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Maybe,Yes,Sometimes,Often,male,United States of America,California,United States of America,California,Other,Always,0
0,1.0,1,1,24,More than 1000,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,"No, none did",N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,"Only after I received a job offer, to ensure protection for my physical disability. ",No,Mental illness is not a protected class from discrimination and disclosing it publicly could affect my immigration status,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Rarely,Often,Female,United States of America,New York,United States of America,New York,Back-end Developer,Sometimes,0
0,1.0,1,1,30,100-500,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,"Yes, they all did",I was aware of some,None did,"Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Most people understand physical health issues whereas with mental health you can never be sure ,No,They may not be accepting,"No, it has not",Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,Rarely,Often,Male,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Sometimes,0
0,1.0,1,0,47,100-500,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did","Yes, always","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,discrimination ,No,discrimination ,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,No,No,Never,Often,female,United States of America,California,United States of America,California,Sales,Sometimes,1
0,1.0,1,1,32,100-500,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,"Yes, they all did",I was aware of some,I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,Unknown,No,Unknown,"Yes, I think it would",Maybe,Somewhat not open,No,I don't know,Yes,Yes,Yes,Sometimes,Often,Male,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin|Supervisor/Team Lead,Always,0
0,1.0,1,0,32,100-500,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,None of their business.,No,None of their business.,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,Maybe,No,Sometimes,Sometimes,Male,United States of America,California,United States of America,California,Back-end Developer,Sometimes,0
0,1.0,1,1,37,500-1000,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,I've never had one that would be relevant.,Yes,"If it's relevant to the conversation, I'm happy to mention that I'm an anxious depressive and to expand as needed. I think it's important to raise the topic openly (as appropriate); it reduces stigma, and gives me an indication of the company's attitude towards mental health.","No, it has not","No, they do not",Very open,No,I don't know,Yes,Yes,Yes,Not applicable to me,Often,male,United States of America,New York,United States of America,New York,Supervisor/Team Lead,Always,1
0,1.0,1,0,28,6-25,No,Unknown,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,No,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,negative connotation ,No,negative connotation,Maybe,Maybe,Somewhat not open,"Yes, I observed",I don't know,Maybe,Maybe,No,Not applicable to me,Not applicable to me,f,United Kingdom,Unknown,United Kingdom,Unknown,Sales,Sometimes,0
0,1.0,1,1,30,500-1000,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,No,Maybe,Maybe,Maybe,Yes,No,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,If it impacted the job I would most likely bring it up towards the end of the interview - more as a I would need some flexibility around this. But I'd want to be a contender for the job before I did. ,No,"I think there's a stigma around mental health and also an issue of trust. I don't want to share with someone who will violate that trust (a physical disability is more transparent than a mental one), and also deemed ""more dangerous"" to the workplace. ",Maybe,"No, I don't think they would",Somewhat open,No,Yes,Yes,Yes,No,Never,Rarely,Male,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Sometimes,0
